final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
co-wi,co-wi,Big Bear,G3,Big Bear (G3),true,21,21,191609.13000000003,26250.0,,9599.75,,2038.04,,,,,37887.79,78901.750000000015,37887.79,116789.54,35849.75,6,58054.549999999988,26591.579999999998,8885.0,35476.58,8885.0,587836.39999999991,526874.9800000001,60.951970294943656,61.10904313270882,89.629526174289339,237230.35142857145,251569.71666666662,72.422992646681934,72.517236349341033,3.7211496323340967,3.7258618174670515,8827.6963499691719,9373.1400175933777,9100.4181837812757,4341.745684260045
committed-to-kids-aba,committed-to-kids-aba,Committed to Kids ABA,G2,Committed to Kids ABA (G2),true,21,4,1436.8600000000001,,,,,,,,,,,335.71000000000009,,335.71000000000009,0.0,4,1436.8600000000001,514.01,,514.01,0.0,2565.6400000000003,,23.364141252453273,35.7731442172515,0.0,3232.9350000000004,9339.59,14.018484751471963,21.463886530350898,0.80092423757359787,1.1731943265175446,25.893359999999998,37.928609999999985,31.910984999999989,0.0
common-ground,common-ground,Common Ground Learning,G4,Common Ground Learning (G4),true,21,20,153215.34,,,,-251.5,1023.46,,,,,771.96,110675.73000000001,771.96,111447.69,-251.5,6,72369.0,52746.04,248.5,52994.54,-251.5,339527.50000000006,304039.73000000004,72.739250521520887,73.228233083226243,89.547895236762855,191519.175,313599.0,79.462708407617669,79.756097944640885,4.0731354203808836,4.0878048972320444,7800.83535374625,12326.264691991075,10063.550022868661,6295.5146919910749
constellationspectrumaba,constellationspectrumaba,Constellation Spectrum ABA,G3,Constellation Spectrum ABA (G3),true,21,0,,,,,,,,,,,,-479.62999999999994,,-479.62999999999994,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cove-aba,cove-aba,Cove aba,G4,Cove aba (G4),true,21,0,,,,,,,,,495.09,,495.09,-1575.2500000000002,495.09,-1080.16,495.09,0,,-342.95000000000005,,-342.95000000000005,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creative-edge-consulting,creative-edge-consulting,Creative Edge Consulting LLC,G2,Creative Edge Consulting LLC (G2),true,21,0,,,,,,,,,,,,-553.35,,-553.35,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creative-waves-aba,creative-waves-aba,Creative Waves ABA,G2,Creative Waves ABA (G2),true,21,11,15304.61,,,,,,,22.5,415.85,,438.35,9409.36,438.35,9847.71,415.85,6,13245.580000000002,9195.619999999999,,9195.619999999999,0.0,29155.32,10207.76,64.344730117265314,69.4240644803776,35.011654819772176,22261.250909090912,57397.513333333336,52.611499998268059,55.659100616135426,2.7305749999134026,2.8829550308067713,607.86015199163148,1018.3043065854282,813.08222928852979,311.87337325209478
crescent-behavioral,crescent-behavioral,Crescent Behavioral Consulting LLC,G3,Crescent Behavioral Consulting LLC (G3),true,21,2,871.17,,,,,,,,,,,-1426.2,,-1426.2,0.0,2,871.17,-750.31,,-750.31,0.0,,,-163.71087158648717,-86.126703169301052,0.0,3049.095,11325.21,0.0,0.0,0.0,0.0,3.0490949999999888,3.0490949999999892,3.0490949999999888,0.0
ct-arc-light,ct-arc-light,Arc Light Behavioral Health Collective,G3,Arc Light Behavioral Health Collective (G3),true,21,21,70572.84,1154.0,,,,,,1350.63,,,2504.63,31888.42,2504.63,34393.05,1154.0,6,18136.95,5910.0999999999995,2504.63,8414.73,1154.0,217653.38999999998,178975.93000000002,48.734116410789206,46.395507513666843,82.229792056075965,87375.897142857139,78593.450000000012,62.132386668903912,60.729221330630494,3.2066193334451958,3.1364610665315249,2801.8124105540455,2465.0529600939208,2633.4326853239832,893.18396009392075
elemental-aba,elemental-aba,Elemental ABA,G2,Elemental ABA (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
